酒儿公告,#genre#
CCTV8,http://115.204.248.218:8888/rtp/233.50.201.199:5140$『线路12』
CCTV8,http://115.206.115.148:4022/rtp/233.50.201.199:5140$『线路13』
CCTV8,http://115.224.205.125:8888/rtp/233.50.201.199:5140$『线路14』
CCTV8,http://115.60.241.249:2000/rtp/225.1.4.161:1197$『线路15』
CCTV8,http://114.97.197.61:4022/rtp/238.1.78.173:7256$『线路16』
CCTV8,http://60.188.194.72:8888/rtp/233.50.201.199:5140$『线路17』
CCTV8,http://58.32.42.132:4022/rtp/239.45.1.71:5140$『线路18』
CCTV8,http://49.71.65.134:8800/rtp/239.49.8.77:8000$『线路19』
CCTV8,http://49.74.204.146:8888/rtp/239.49.8.77:8000$『线路20』
CCTV8,http://36.6.151.177:8888/rtp/238.1.78.173:7256$『线路21』
CCTV9,http://www.baopiqi.top:4022/udp/239.45.3.4:5140$『线路1』
CCTV9,http://222.184.193.235:55555/rtp/239.49.8.53:9814$『线路2』
CCTV9,http://222.212.166.172:8888/rtp/239.93.1.24:5140$『线路3』
CCTV9,http://218.1.139.206:8888/rtp/239.45.3.4:5140$『线路4』
CCTV9,http://171.213.128.34:4022/rtp/239.93.1.24:5140$『线路5』
CCTV9,http://171.88.144.241:4022/rtp/239.93.1.24:5140$『线路6』
CCTV9,http://125.116.52.226:4022/rtp/233.50.201.121:5140$『线路7』
CCTV9,http://121.237.247.189:8888/rtp/239.49.8.53:9814$『线路8』
CCTV9,http://116.226.123.242:4022/rtp/239.45.3.4:5140$『线路9』
CCTV9,http://115.195.17.233:8888/rtp/233.50.201.121:5140$『线路10』
CCTV9,http://115.198.129.134:8000/rtp/233.50.201.121:5140$『线路11』
CCTV9,http://115.204.248.218:8888/rtp/233.50.201.121:5140$『线路12』
CCTV9,http://115.206.115.148:4022/rtp/233.50.201.121:5140$『线路13』
CCTV9,http://115.224.205.125:8888/rtp/233.50.201.121:5140$『线路14』
CCTV9,http://115.60.241.249:2000/rtp/225.1.4.77:1106$『线路15』
CCTV9,http://114.97.197.61:4022/rtp/238.1.78.240:7792$『线路16』
CCTV9,http://60.188.194.72:8888/rtp/233.50.201.121:5140$『线路17』
CCTV9,http://58.32.42.132:4022/rtp/239.45.3.4:5140$『线路18』
CCTV9,http://49.71.65.134:8800/rtp/239.49.8.53:9814$『线路19』
CCTV9,http://49.74.204.146:8888/rtp/239.49.8.53:9814$『线路20』
CCTV9,http://36.6.151.177:8888/rtp/238.1.78.240:7792$『线路21』
CCTV10,http://www.baopiqi.top:4022/udp/239.45.3.8:5140$『线路1』
CCTV10,http://222.184.193.235:55555/rtp/239.49.8.54:9818$『线路2』
CCTV10,http://222.212.166.172:8888/rtp/239.93.1.28:5140$『线路3』
CCTV10,http://218.1.139.206:8888/rtp/239.45.3.8:5140$『线路4』
CCTV10,http://171.213.128.34:4022/rtp/239.93.1.28:5140$『线路5』
CCTV10,http://171.88.144.241:4022/rtp/239.93.1.28:5140$『线路6』
CCTV10,http://125.116.52.226:4022/rtp/233.50.201.122:5140$『线路7』
CCTV10,http://121.237.247.189:8888/rtp/239.49.8.54:9818$『线路8』
CCTV10,http://116.226.123.242:4022/rtp/239.45.3.8:5140$『线路9』
CCTV10,http://115.195.17.233:8888/rtp/233.50.201.122:5140$『线路10』
CCTV10,http://115.198.129.134:8000/rtp/233.50.201.122:5140$『线路11』
CCTV10,http://115.204.248.218:8888/rtp/233.50.201.122:5140$『线路12』
CCTV10,http://115.206.115.148:4022/rtp/233.50.201.122:5140$『线路13』
CCTV10,http://115.224.205.125:8888/rtp/233.50.201.122:5140$『线路14』
CCTV10,http://115.60.241.249:2000/rtp/225.1.4.78:1107$『线路15』
CCTV10,http://114.97.197.61:4022/rtp/238.1.78.241:7800$『线路16』
CCTV10,http://60.188.194.72:8888/rtp/233.50.201.122:5140$『线路17』
CCTV10,http://58.32.42.132:4022/rtp/239.45.3.8:5140$『线路18』
CCTV10,http://49.71.65.134:8800/rtp/239.49.8.54:9818$『线路19』
CCTV10,http://49.74.204.146:8888/rtp/239.49.8.54:9818$『线路20』
CCTV10,http://36.6.151.177:8888/rtp/238.1.78.241:7800$『线路21』
CCTV11,http://www.baopiqi.top:4022/udp/239.45.0.18:5140$『线路1』
CCTV11,http://222.184.193.235:55555/rtp/239.49.0.127:8000$『线路2』
CCTV11,http://222.212.166.172:8888/rtp/239.93.0.102:5140$『线路3』
CCTV11,http://218.1.139.206:8888/rtp/239.45.1.196:5140$『线路4』
CCTV11,http://171.213.128.34:4022/rtp/239.93.0.102:5140$『线路5』
CCTV11,http://171.88.144.241:4022/rtp/239.93.0.102:5140$『线路6』
